"dataset","family","method","source","available"
"mass41","tsne","RAPIDS cuML t-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cuda/20260727_090955_1118071/plots/mass41_rapids_cuml_tsne_full_threads1_seed4.png",TRUE
"mass41","umap","umap",,FALSE
"mass41","umap","uwot","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu4/20260727_073247_1118060/plots/mass41_uwot_default_threads4_seed4.png",TRUE
"mass41","umap","uwot fast SGD","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu4/20260727_073247_1118060/plots/mass41_uwot_fast_sgd_threads4_seed4.png",TRUE
"mass41","umap","fastEmbedR fuzzy [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu4/20260727_073247_1118060/plots/mass41_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png",TRUE
"mass41","umap","fastEmbedR binary [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cpu4/20260727_073247_1118060/plots/mass41_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png",TRUE
"mass41","umap","fastEmbedR fuzzy [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cuda/20260727_090955_1118071/plots/mass41_fastEmbedR_umap_cuda_fuzzy_full_threads1_seed4.png",TRUE
"mass41","umap","fastEmbedR binary [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cuda/20260727_090955_1118071/plots/mass41_fastEmbedR_umap_cuda_binary_full_threads1_seed4.png",TRUE
"mass41","umap","Python umap-learn","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/python/cpu4/20260721_084502_1071217/seed_4/plots/mass41_python_umap_learn_threads4_seed4.png",TRUE
"mass41","umap","RAPIDS cuML UMAP","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/mass41/standard/cuda/20260727_090955_1118071/plots/mass41_rapids_cuml_umap_full_threads1_seed4.png",TRUE
"TabulaMuris","tsne","Rtsne","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu4/20260727_073247_1118063/plots/TabulaMuris_Rtsne_full_threads4_seed4.png",TRUE
"TabulaMuris","tsne","FIt-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu4/20260727_073247_1118063/plots/TabulaMuris_KlugerLab_FItSNE_threads4_seed4.png",TRUE
"TabulaMuris","tsne","fastEmbedR::tsne [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu4/20260727_073247_1118063/plots/TabulaMuris_fastEmbedR_opentsne_cpu_full_threads4_seed4.png",TRUE
"TabulaMuris","tsne","fastEmbedR::tsne [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cuda/20260727_093420_1118074/plots/TabulaMuris_fastEmbedR_opentsne_cuda_full_threads1_seed4.png",TRUE
"TabulaMuris","tsne","Python openTSNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/python/cpu4/20260721_084502_1071220/seed_4/plots/TabulaMuris_python_opentsne_fft_direct_threads4_seed4.png",TRUE
"TabulaMuris","tsne","RAPIDS cuML t-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cuda/20260727_093420_1118074/plots/TabulaMuris_rapids_cuml_tsne_full_threads1_seed4.png",TRUE
"TabulaMuris","umap","umap","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu4/20260727_073247_1118063/plots/TabulaMuris_umap_package_threads4_seed4.png",TRUE
"TabulaMuris","umap","uwot","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu4/20260727_073247_1118063/plots/TabulaMuris_uwot_default_threads4_seed4.png",TRUE
"TabulaMuris","umap","uwot fast SGD","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu4/20260727_073247_1118063/plots/TabulaMuris_uwot_fast_sgd_threads4_seed4.png",TRUE
"TabulaMuris","umap","fastEmbedR fuzzy [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu4/20260727_073247_1118063/plots/TabulaMuris_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png",TRUE
"TabulaMuris","umap","fastEmbedR binary [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cpu4/20260727_073247_1118063/plots/TabulaMuris_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png",TRUE
"TabulaMuris","umap","fastEmbedR fuzzy [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cuda/20260727_093420_1118074/plots/TabulaMuris_fastEmbedR_umap_cuda_fuzzy_full_threads1_seed4.png",TRUE
"TabulaMuris","umap","fastEmbedR binary [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cuda/20260727_093420_1118074/plots/TabulaMuris_fastEmbedR_umap_cuda_binary_full_threads1_seed4.png",TRUE
"TabulaMuris","umap","Python umap-learn","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/python/cpu4/20260721_084502_1071220/seed_4/plots/TabulaMuris_python_umap_learn_threads4_seed4.png",TRUE
"TabulaMuris","umap","RAPIDS cuML UMAP","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/TabulaMuris/standard/cuda/20260727_093420_1118074/plots/TabulaMuris_rapids_cuml_umap_full_threads1_seed4.png",TRUE
"Macosko2015_retina","tsne","Rtsne","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260727_073247_1118059/plots/Macosko2015_retina_Rtsne_full_threads4_seed4.png",TRUE
"Macosko2015_retina","tsne","FIt-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260727_073247_1118059/plots/Macosko2015_retina_KlugerLab_FItSNE_threads4_seed4.png",TRUE
"Macosko2015_retina","tsne","fastEmbedR::tsne [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260727_073247_1118059/plots/Macosko2015_retina_fastEmbedR_opentsne_cpu_full_threads4_seed4.png",TRUE
"Macosko2015_retina","tsne","fastEmbedR::tsne [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cuda/20260727_090725_1118070/plots/Macosko2015_retina_fastEmbedR_opentsne_cuda_full_threads1_seed4.png",TRUE
"Macosko2015_retina","tsne","Python openTSNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/python/cpu4/20260721_084502_1071216/seed_4/plots/Macosko2015_retina_python_opentsne_fft_direct_threads4_seed4.png",TRUE
"Macosko2015_retina","tsne","RAPIDS cuML t-SNE","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cuda/20260727_090725_1118070/plots/Macosko2015_retina_rapids_cuml_tsne_full_threads1_seed4.png",TRUE
"Macosko2015_retina","umap","umap","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260727_073247_1118059/plots/Macosko2015_retina_umap_package_threads4_seed4.png",TRUE
"Macosko2015_retina","umap","uwot","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260727_073247_1118059/plots/Macosko2015_retina_uwot_default_threads4_seed4.png",TRUE
"Macosko2015_retina","umap","uwot fast SGD","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260727_073247_1118059/plots/Macosko2015_retina_uwot_fast_sgd_threads4_seed4.png",TRUE
"Macosko2015_retina","umap","fastEmbedR fuzzy [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260727_073247_1118059/plots/Macosko2015_retina_fastEmbedR_umap_cpu_fuzzy_full_threads4_seed4.png",TRUE
"Macosko2015_retina","umap","fastEmbedR binary [CPU]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cpu4/20260727_073247_1118059/plots/Macosko2015_retina_fastEmbedR_umap_cpu_binary_full_threads4_seed4.png",TRUE
"Macosko2015_retina","umap","fastEmbedR fuzzy [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cuda/20260727_090725_1118070/plots/Macosko2015_retina_fastEmbedR_umap_cuda_fuzzy_full_threads1_seed4.png",TRUE
"Macosko2015_retina","umap","fastEmbedR binary [CUDA]","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cuda/20260727_090725_1118070/plots/Macosko2015_retina_fastEmbedR_umap_cuda_binary_full_threads1_seed4.png",TRUE
"Macosko2015_retina","umap","Python umap-learn","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/python/cpu4/20260721_084502_1071216/seed_4/plots/Macosko2015_retina_python_umap_learn_threads4_seed4.png",TRUE
"Macosko2015_retina","umap","RAPIDS cuML UMAP","/Users/stefano/Documents/fastEmbedR-results/fastEmbedR-results/Macosko2015_retina/standard/cuda/20260727_090725_1118070/plots/Macosko2015_retina_rapids_cuml_umap_full_threads1_seed4.png",TRUE
